"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)"
"Aa en Hunze";"GM1680    ";"Aa en Hunze                                       ";"GG0706    ";"GGD Drenthe                                       "
"Aalsmeer";"GM0358    ";"Aalsmeer                                          ";"GG3406    ";"GGD Amsterdam                                     "
"Aalten";"GM0197    ";"Aalten                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Achtkarspelen";"GM0059    ";"Achtkarspelen                                     ";"GG7206    ";"GGD Fryslân                                       "
"Alblasserdam";"GM0482    ";"Alblasserdam                                      ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Albrandswaard";"GM0613    ";"Albrandswaard                                     ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Alkmaar";"GM0361    ";"Alkmaar                                           ";"GG2707    ";"GGD Hollands-Noorden                              "
"Almelo";"GM0141    ";"Almelo                                            ";"GG1106    ";"GGD Twente                                        "
"Almere";"GM0034    ";"Almere                                            ";"GG2209    ";"GGD Flevoland                                     "
"Alphen aan den Rijn";"GM0484    ";"Alphen aan den Rijn                               ";"GG4506    ";"GGD Hollands-Midden                               "
"Alphen-Chaam";"GM1723    ";"Alphen-Chaam                                      ";"GG5206    ";"GGD West-Brabant                                  "
"Altena";"GM1959    ";"Altena                                            ";"GG5206    ";"GGD West-Brabant                                  "
"Ameland";"GM0060    ";"Ameland                                           ";"GG7206    ";"GGD Fryslân                                       "
"Amersfoort";"GM0307    ";"Amersfoort                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Amstelveen";"GM0362    ";"Amstelveen                                        ";"GG3406    ";"GGD Amsterdam                                     "
"Amsterdam";"GM0363    ";"Amsterdam                                         ";"GG3406    ";"GGD Amsterdam                                     "
"Apeldoorn";"GM0200    ";"Apeldoorn                                         ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Arnhem";"GM0202    ";"Arnhem                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Assen";"GM0106    ";"Assen                                             ";"GG0706    ";"GGD Drenthe                                       "
"Asten";"GM0743    ";"Asten                                             ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Baarle-Nassau";"GM0744    ";"Baarle-Nassau                                     ";"GG5206    ";"GGD West-Brabant                                  "
"Baarn";"GM0308    ";"Baarn                                             ";"GG2514    ";"GGD Regio Utrecht                                 "
"Barendrecht";"GM0489    ";"Barendrecht                                       ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Barneveld";"GM0203    ";"Barneveld                                         ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Beek (L.)";"GM0888    ";"Beek                                              ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Beekdaelen";"GM1954    ";"Beekdaelen                                        ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Beesel";"GM0889    ";"Beesel                                            ";"GG6011    ";"GGD Limburg-Noord                                 "
"Berg en Dal";"GM1945    ";"Berg en Dal                                       ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Bergeijk";"GM1724    ";"Bergeijk                                          ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Bergen (L.)";"GM0893    ";"Bergen (L.)                                       ";"GG6011    ";"GGD Limburg-Noord                                 "
"Bergen (NH.)";"GM0373    ";"Bergen (NH.)                                      ";"GG2707    ";"GGD Hollands-Noorden                              "
"Bergen op Zoom";"GM0748    ";"Bergen op Zoom                                    ";"GG5206    ";"GGD West-Brabant                                  "
"Berkelland";"GM1859    ";"Berkelland                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Bernheze";"GM1721    ";"Bernheze                                          ";"GG5406    ";"GGD Hart voor Brabant                             "
"Best";"GM0753    ";"Best                                              ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Beuningen";"GM0209    ";"Beuningen                                         ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Beverwijk";"GM0375    ";"Beverwijk                                         ";"GG3109    ";"GGD Kennemerland                                  "
"De Bilt";"GM0310    ";"De Bilt                                           ";"GG2514    ";"GGD Regio Utrecht                                 "
"Bladel";"GM1728    ";"Bladel                                            ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Blaricum";"GM0376    ";"Blaricum                                          ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Bloemendaal";"GM0377    ";"Bloemendaal                                       ";"GG3109    ";"GGD Kennemerland                                  "
"Bodegraven-Reeuwijk";"GM1901    ";"Bodegraven-Reeuwijk                               ";"GG4506    ";"GGD Hollands-Midden                               "
"Boekel";"GM0755    ";"Boekel                                            ";"GG5406    ";"GGD Hart voor Brabant                             "
"Borger-Odoorn";"GM1681    ";"Borger-Odoorn                                     ";"GG0706    ";"GGD Drenthe                                       "
"Borne";"GM0147    ";"Borne                                             ";"GG1106    ";"GGD Twente                                        "
"Borsele";"GM0654    ";"Borsele                                           ";"GG5006    ";"GGD Zeeland                                       "
"Boxtel";"GM0757    ";"Boxtel                                            ";"GG5406    ";"GGD Hart voor Brabant                             "
"Breda";"GM0758    ";"Breda                                             ";"GG5206    ";"GGD West-Brabant                                  "
"Bronckhorst";"GM1876    ";"Bronckhorst                                       ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Brummen";"GM0213    ";"Brummen                                           ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Brunssum";"GM0899    ";"Brunssum                                          ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Bunnik";"GM0312    ";"Bunnik                                            ";"GG2514    ";"GGD Regio Utrecht                                 "
"Bunschoten";"GM0313    ";"Bunschoten                                        ";"GG2514    ";"GGD Regio Utrecht                                 "
"Buren";"GM0214    ";"Buren                                             ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Capelle aan den IJssel";"GM0502    ";"Capelle aan den IJssel                            ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Castricum";"GM0383    ";"Castricum                                         ";"GG2707    ";"GGD Hollands-Noorden                              "
"Coevorden";"GM0109    ";"Coevorden                                         ";"GG0706    ";"GGD Drenthe                                       "
"Cranendonck";"GM1706    ";"Cranendonck                                       ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Culemborg";"GM0216    ";"Culemborg                                         ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Dalfsen";"GM0148    ";"Dalfsen                                           ";"GG1009    ";"GGD IJsselland                                    "
"Dantumadiel";"GM1891    ";"Dantumadiel                                       ";"GG7206    ";"GGD Fryslân                                       "
"Delft";"GM0503    ";"Delft                                             ";"GG7014    ";"GGD Haaglanden                                    "
"Deurne";"GM0762    ";"Deurne                                            ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Deventer";"GM0150    ";"Deventer                                          ";"GG1009    ";"GGD IJsselland                                    "
"Diemen";"GM0384    ";"Diemen                                            ";"GG3406    ";"GGD Amsterdam                                     "
"Dijk en Waard";"GM1980    ";"Dijk en Waard                                     ";"GG2707    ";"GGD Hollands-Noorden                              "
"Dinkelland";"GM1774    ";"Dinkelland                                        ";"GG1106    ";"GGD Twente                                        "
"Doesburg";"GM0221    ";"Doesburg                                          ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Doetinchem";"GM0222    ";"Doetinchem                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Dongen";"GM0766    ";"Dongen                                            ";"GG5406    ";"GGD Hart voor Brabant                             "
"Dordrecht";"GM0505    ";"Dordrecht                                         ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Drechterland";"GM0498    ";"Drechterland                                      ";"GG2707    ";"GGD Hollands-Noorden                              "
"Drimmelen";"GM1719    ";"Drimmelen                                         ";"GG5206    ";"GGD West-Brabant                                  "
"Dronten";"GM0303    ";"Dronten                                           ";"GG2209    ";"GGD Flevoland                                     "
"Druten";"GM0225    ";"Druten                                            ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Duiven";"GM0226    ";"Duiven                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Echt-Susteren";"GM1711    ";"Echt-Susteren                                     ";"GG6011    ";"GGD Limburg-Noord                                 "
"Edam-Volendam";"GM0385    ";"Edam-Volendam                                     ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Ede";"GM0228    ";"Ede                                               ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Eemnes";"GM0317    ";"Eemnes                                            ";"GG2514    ";"GGD Regio Utrecht                                 "
"Eemsdelta";"GM1979    ";"Eemsdelta                                         ";"GG0111    ";"GGD Groningen                                     "
"Eersel";"GM0770    ";"Eersel                                            ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Eijsden-Margraten";"GM1903    ";"Eijsden-Margraten                                 ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Eindhoven";"GM0772    ";"Eindhoven                                         ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Elburg";"GM0230    ";"Elburg                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Emmen";"GM0114    ";"Emmen                                             ";"GG0706    ";"GGD Drenthe                                       "
"Enkhuizen";"GM0388    ";"Enkhuizen                                         ";"GG2707    ";"GGD Hollands-Noorden                              "
"Enschede";"GM0153    ";"Enschede                                          ";"GG1106    ";"GGD Twente                                        "
"Epe";"GM0232    ";"Epe                                               ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Ermelo";"GM0233    ";"Ermelo                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Etten-Leur";"GM0777    ";"Etten-Leur                                        ";"GG5206    ";"GGD West-Brabant                                  "
"De Fryske Marren";"GM1940    ";"De Fryske Marren                                  ";"GG7206    ";"GGD Fryslân                                       "
"Geertruidenberg";"GM0779    ";"Geertruidenberg                                   ";"GG5206    ";"GGD West-Brabant                                  "
"Geldrop-Mierlo";"GM1771    ";"Geldrop-Mierlo                                    ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Gemert-Bakel";"GM1652    ";"Gemert-Bakel                                      ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Gennep";"GM0907    ";"Gennep                                            ";"GG6011    ";"GGD Limburg-Noord                                 "
"Gilze en Rijen";"GM0784    ";"Gilze en Rijen                                    ";"GG5406    ";"GGD Hart voor Brabant                             "
"Goeree-Overflakkee";"GM1924    ";"Goeree-Overflakkee                                ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Goes";"GM0664    ";"Goes                                              ";"GG5006    ";"GGD Zeeland                                       "
"Goirle";"GM0785    ";"Goirle                                            ";"GG5406    ";"GGD Hart voor Brabant                             "
"Gooise Meren";"GM1942    ";"Gooise Meren                                      ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Gorinchem";"GM0512    ";"Gorinchem                                         ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Gouda";"GM0513    ";"Gouda                                             ";"GG4506    ";"GGD Hollands-Midden                               "
"'s-Gravenhage (gemeente)";"GM0518    ";"'s-Gravenhage                                     ";"GG7014    ";"GGD Haaglanden                                    "
"Groningen (gemeente)";"GM0014    ";"Groningen                                         ";"GG0111    ";"GGD Groningen                                     "
"Gulpen-Wittem";"GM1729    ";"Gulpen-Wittem                                     ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Haaksbergen";"GM0158    ";"Haaksbergen                                       ";"GG1106    ";"GGD Twente                                        "
"Haarlem";"GM0392    ";"Haarlem                                           ";"GG3109    ";"GGD Kennemerland                                  "
"Haarlemmermeer";"GM0394    ";"Haarlemmermeer                                    ";"GG3109    ";"GGD Kennemerland                                  "
"Halderberge";"GM1655    ";"Halderberge                                       ";"GG5206    ";"GGD West-Brabant                                  "
"Hardenberg";"GM0160    ";"Hardenberg                                        ";"GG1009    ";"GGD IJsselland                                    "
"Harderwijk";"GM0243    ";"Harderwijk                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Hardinxveld-Giessendam";"GM0523    ";"Hardinxveld-Giessendam                            ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Harlingen";"GM0072    ";"Harlingen                                         ";"GG7206    ";"GGD Fryslân                                       "
"Hattem";"GM0244    ";"Hattem                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Heemskerk";"GM0396    ";"Heemskerk                                         ";"GG3109    ";"GGD Kennemerland                                  "
"Heemstede";"GM0397    ";"Heemstede                                         ";"GG3109    ";"GGD Kennemerland                                  "
"Heerde";"GM0246    ";"Heerde                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Heerenveen";"GM0074    ";"Heerenveen                                        ";"GG7206    ";"GGD Fryslân                                       "
"Heerlen";"GM0917    ";"Heerlen                                           ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Heeze-Leende";"GM1658    ";"Heeze-Leende                                      ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Heiloo";"GM0399    ";"Heiloo                                            ";"GG2707    ";"GGD Hollands-Noorden                              "
"Den Helder";"GM0400    ";"Den Helder                                        ";"GG2707    ";"GGD Hollands-Noorden                              "
"Hellendoorn";"GM0163    ";"Hellendoorn                                       ";"GG1106    ";"GGD Twente                                        "
"Helmond";"GM0794    ";"Helmond                                           ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Hendrik-Ido-Ambacht";"GM0531    ";"Hendrik-Ido-Ambacht                               ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Hengelo (O.)";"GM0164    ";"Hengelo                                           ";"GG1106    ";"GGD Twente                                        "
"'s-Hertogenbosch";"GM0796    ";"'s-Hertogenbosch                                  ";"GG5406    ";"GGD Hart voor Brabant                             "
"Heumen";"GM0252    ";"Heumen                                            ";"GG2014    ";"GGD Gelderland-Zuid                               "
"Heusden";"GM0797    ";"Heusden                                           ";"GG5406    ";"GGD Hart voor Brabant                             "
"Hillegom";"GM0534    ";"Hillegom                                          ";"GG4506    ";"GGD Hollands-Midden                               "
"Hilvarenbeek";"GM0798    ";"Hilvarenbeek                                      ";"GG5406    ";"GGD Hart voor Brabant                             "
"Hilversum";"GM0402    ";"Hilversum                                         ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Hoeksche Waard";"GM1963    ";"Hoeksche Waard                                    ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Hof van Twente";"GM1735    ";"Hof van Twente                                    ";"GG1106    ";"GGD Twente                                        "
"Het Hogeland";"GM1966    ";"Het Hogeland                                      ";"GG0111    ";"GGD Groningen                                     "
"Hollands Kroon";"GM1911    ";"Hollands Kroon                                    ";"GG2707    ";"GGD Hollands-Noorden                              "
"Hoogeveen";"GM0118    ";"Hoogeveen                                         ";"GG0706    ";"GGD Drenthe                                       "
"Hoorn";"GM0405    ";"Hoorn                                             ";"GG2707    ";"GGD Hollands-Noorden                              "
"Horst aan de Maas";"GM1507    ";"Horst aan de Maas                                 ";"GG6011    ";"GGD Limburg-Noord                                 "
"Houten";"GM0321    ";"Houten                                            ";"GG2514    ";"GGD Regio Utrecht                                 "
"Huizen";"GM0406    ";"Huizen                                            ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Hulst";"GM0677    ";"Hulst                                             ";"GG5006    ";"GGD Zeeland                                       "
"IJsselstein";"GM0353    ";"IJsselstein                                       ";"GG2514    ";"GGD Regio Utrecht                                 "
"Kaag en Braassem";"GM1884    ";"Kaag en Braassem                                  ";"GG4506    ";"GGD Hollands-Midden                               "
"Kampen";"GM0166    ";"Kampen                                            ";"GG1009    ";"GGD IJsselland                                    "
"Kapelle";"GM0678    ";"Kapelle                                           ";"GG5006    ";"GGD Zeeland                                       "
"Katwijk";"GM0537    ";"Katwijk                                           ";"GG4506    ";"GGD Hollands-Midden                               "
"Kerkrade";"GM0928    ";"Kerkrade                                          ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Koggenland";"GM1598    ";"Koggenland                                        ";"GG2707    ";"GGD Hollands-Noorden                              "
"Krimpen aan den IJssel";"GM0542    ";"Krimpen aan den IJssel                            ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Krimpenerwaard";"GM1931    ";"Krimpenerwaard                                    ";"GG4506    ";"GGD Hollands-Midden                               "
"Laarbeek";"GM1659    ";"Laarbeek                                          ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Land van Cuijk";"GM1982    ";"Land van Cuijk                                    ";"GG5406    ";"GGD Hart voor Brabant                             "
"Landgraaf";"GM0882    ";"Landgraaf                                         ";"GG6106    ";"GGD Zuid-Limburg                                  "
"Landsmeer";"GM0415    ";"Landsmeer                                         ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Lansingerland";"GM1621    ";"Lansingerland                                     ";"GG4607    ";"GGD Rotterdam-Rijnmond                            "
"Laren (NH.)";"GM0417    ";"Laren                                             ";"GG3606    ";"GGD Gooi en Vechtstreek                           "
"Leeuwarden";"GM0080    ";"Leeuwarden                                        ";"GG7206    ";"GGD Fryslân                                       "
"Leiden";"GM0546    ";"Leiden                                            ";"GG4506    ";"GGD Hollands-Midden                               "
"Leiderdorp";"GM0547    ";"Leiderdorp                                        ";"GG4506    ";"GGD Hollands-Midden                               "
"Leidschendam-Voorburg";"GM1916    ";"Leidschendam-Voorburg                             ";"GG7014    ";"GGD Haaglanden                                    "
"Lelystad";"GM0995    ";"Lelystad                                          ";"GG2209    ";"GGD Flevoland                                     "
"Leudal";"GM1640    ";"Leudal                                            ";"GG6011    ";"GGD Limburg-Noord                                 "
"Leusden";"GM0327    ";"Leusden                                           ";"GG2514    ";"GGD Regio Utrecht                                 "
"Lingewaard";"GM1705    ";"Lingewaard                                        ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Lisse";"GM0553    ";"Lisse                                             ";"GG4506    ";"GGD Hollands-Midden                               "
"Lochem";"GM0262    ";"Lochem                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Loon op Zand";"GM0809    ";"Loon op Zand                                      ";"GG5406    ";"GGD Hart voor Brabant                             "
"Lopik";"GM0331    ";"Lopik                                             ";"GG2514    ";"GGD Regio Utrecht                                 "
